imageName X Y Z Omega Phi Kappa
Elettra-Carroponte2024-4248_pt.jpg 92.078769 -41.940946 5.605908 -0.720852 -1.583193 -101.600251
Elettra-Carroponte2024-4249_pt.jpg 92.245634 -41.279239 5.601314 -0.622469 -1.590253 -100.810618
Elettra-Carroponte2024-4250_pt.jpg 92.407643 -40.597899 5.595925 -0.577348 -1.581202 -99.944037
Elettra-Carroponte2024-4251_pt.jpg 92.564571 -39.905966 5.593510 -0.722793 -1.597929 -99.154817
Elettra-Carroponte2024-4252_pt.jpg 92.715079 -39.218930 5.590861 -0.687810 -1.596883 -98.346595
Elettra-Carroponte2024-4253_pt.jpg 92.855330 -38.531182 5.590776 -0.900938 -1.632661 -97.591241
Elettra-Carroponte2024-4254_pt.jpg 92.982448 -37.851776 5.593064 -0.540627 -1.658535 -96.767959
Elettra-Carroponte2024-4255_pt.jpg 93.101394 -37.173820 5.592592 -0.372398 -1.663772 -95.960178
Elettra-Carroponte2024-4256_pt.jpg 93.212707 -36.501259 5.593058 -0.341479 -1.610817 -95.172457
Elettra-Carroponte2024-4257_pt.jpg 93.315624 -35.814739 5.596741 -0.349906 -1.650075 -94.428873
Elettra-Carroponte2024-4258_pt.jpg 93.409340 -35.128781 5.596203 -0.412769 -1.648019 -93.673413
Elettra-Carroponte2024-4259_pt.jpg 93.491800 -34.432807 5.594412 -0.412085 -1.564110 -92.825154
Elettra-Carroponte2024-4260_pt.jpg 93.562545 -33.729191 5.588678 -0.428689 -1.640404 -92.057924
Elettra-Carroponte2024-4261_pt.jpg 93.625990 -33.034925 5.582716 -0.379647 -1.576436 -91.238318
Elettra-Carroponte2024-4262_pt.jpg 93.675741 -32.330715 5.579000 -0.324546 -1.572874 -90.374214
Elettra-Carroponte2024-4263_pt.jpg 93.718119 -31.626209 5.577431 -0.497328 -1.564520 -89.608979
Elettra-Carroponte2024-4264_pt.jpg 93.751212 -30.920356 5.575924 -0.486485 -1.614049 -88.795458
Elettra-Carroponte2024-4265_pt.jpg 93.773239 -30.206242 5.575349 -0.428946 -1.616696 -87.975794
Elettra-Carroponte2024-4266_pt.jpg 93.782898 -29.504988 5.576405 -0.330217 -1.668442 -87.145206
Elettra-Carroponte2024-4267_pt.jpg 93.783362 -28.812163 5.580358 -0.168413 -1.692452 -86.389123
Elettra-Carroponte2024-4268_pt.jpg 93.774991 -28.110987 5.585789 -0.234258 -1.719892 -85.561302
Elettra-Carroponte2024-4269_pt.jpg 93.758199 -27.412885 5.590236 0.065528 -1.734777 -84.768384
Elettra-Carroponte2024-4270_pt.jpg 93.732627 -26.722854 5.593529 0.291868 -1.694406 -83.967969
Elettra-Carroponte2024-4271_pt.jpg 93.697019 -26.015333 5.596263 0.177647 -1.724193 -83.092027
Elettra-Carroponte2024-4272_pt.jpg 93.647150 -25.311370 5.594612 0.340089 -1.723913 -82.299735
Elettra-Carroponte2024-4273_pt.jpg 93.584535 -24.596381 5.590892 0.069738 -1.772151 -81.465739
