#Image,X,Y,Z,Omega,Phi,Kappa,SigmaHoriz,SigmaVert
Elettra-Carroponte2024-4389_pt.jpg,38.598729547960474,20.102518799576977,5.6635546727272725,-1.483183,-0.028753,9.040529890771552,2.0,0.5
Elettra-Carroponte2024-4390_pt.jpg,38.28153300926073,20.065309511213705,5.6635546727272725,-1.483183,-0.028753,9.410221216323379,2.0,0.5
Elettra-Carroponte2024-4391_pt.jpg,37.96458287847189,20.02605661454939,5.6635546727272725,-1.483183,-0.028753,9.779910166876306,2.0,0.5
Elettra-Carroponte2024-4392_pt.jpg,37.64789232185011,19.98476174016767,5.6635546727272725,-1.483183,-0.028753,10.149596725548491,2.0,0.5
Elettra-Carroponte2024-4393_pt.jpg,37.33147449486877,19.941426603476856,5.6635546727272725,-1.483183,-0.028753,10.519280875558792,2.0,0.5
Elettra-Carroponte2024-4394_pt.jpg,37.01534254167188,19.896053004638745,5.6635546727272725,-1.483183,-0.028753,10.888962600227416,2.0,0.5
Elettra-Carroponte2024-4395_pt.jpg,36.69950959452813,19.84864282849378,5.6635546727272725,-1.483183,-0.028753,11.258641882976661,2.0,0.5
Elettra-Carroponte2024-4396_pt.jpg,36.38398877328535,19.79919804448277,5.6635546727272725,-1.483183,-0.028753,11.628318707331573,2.0,0.5
Elettra-Carroponte2024-4397_pt.jpg,36.068793184825566,19.747720706565097,5.6635546727272725,-1.483183,-0.028753,11.997993056920564,2.0,0.5
Elettra-Carroponte2024-4398_pt.jpg,35.75393592252041,19.694212953133366,5.6635546727272725,-1.483183,-0.028753,12.367664915476269,2.0,0.5
Elettra-Carroponte2024-4399_pt.jpg,35.43943006568733,19.638677006924603,5.6635546727272725,-1.483183,-0.028753,12.73733426683603,2.0,0.5
Elettra-Carroponte2024-4400_pt.jpg,35.12528867904625,19.581115174927895,5.6635546727272725,-1.483183,-0.028753,13.10700109494266,2.0,0.5
Elettra-Carroponte2024-4401_pt.jpg,34.811524812176756,19.52152984828858,5.6635546727272725,-1.483183,-0.028753,13.476665383845187,2.0,0.5
Elettra-Carroponte2024-4402_pt.jpg,34.49815149897616,19.459923502208895,5.6635546727272725,-1.483183,-0.028753,13.846327117699275,2.0,0.5
Elettra-Carroponte2024-4403_pt.jpg,34.185181757117974,19.396298695845182,5.6635546727272725,-1.483183,-0.028753,14.215986280768192,2.0,0.5
Elettra-Carroponte2024-4404_pt.jpg,33.87262858751114,19.330658072201544,5.6635546727272725,-1.483183,-0.028753,14.585642857423267,2.0,0.5
Elettra-Carroponte2024-4405_pt.jpg,33.560504973760004,19.263004358020098,5.6635546727272725,-1.483183,-0.028753,14.955296832144512,2.0,0.5
